Banco;Sector;Entidad Responsable;Bpin;Nombre Proyecto;Estado;Horizonte;Valor Total;Localizaciones
Territorio;Salud Y Protección Social;San Pedro de Urabá,Antioquia;202500000009791;Implementación De Estrategias Establecidas En El Programa De Salud Pública Y Desarrolladas Mediante El  Plan De Intervenciones Colectivas (Pic)  Del Municipio De  San Pedro De Urabá, Antioquia;En Ejecución;2025 - 2025;622004810,00;1
Territorio;Salud Y Protección Social;San Pedro de Urabá,Antioquia;202500000009780;Fortalecimiento Del Programa De Salud Pública En El Municipio De  San Pedro De Urabá, Antioquia;En Ejecución;2025 - 2025;123667469,00;1
Territorio;Transporte;Maceo,Antioquia;202500000009770;Implementación  De Estrategias Para Garantizar La Seguridad Vial En El Municipio De  Maceo;En Ejecución;2025 - 2025;86539045,00;1
Territorio;Salud Y Protección Social;San Pedro de Urabá,Antioquia;202500000009753;Desarrollo De Acciones Para El Aseguramiento Y Prestación Del Servicio De Salud A La Población Del Municipio De  San Pedro De Urabá, Antioquia;En Ejecución;2025 - 2025;50631925589,00;1
Territorio;Salud Y Protección Social;San Pedro de Urabá,Antioquia;202500000009732;Fortalecimiento De La Autoridad Sanitaria (Inspección Vigilancia Y Control)  Del Municipio De  San Pedro De Urabá, Antioquia;En Ejecución;2025 - 2025;426558238,00;1
Territorio;Agricultura Y Desarrollo Rural;San Pedro de Urabá,Antioquia;202500000009710;Servicio De Apoyo, Acompañamiento, Educación Y Fortalecimiento De Pequeños Y Medianos Productores Para El Desarrollo Del Sector Productivo Y Agropecuario En El Municipio De  San Pedro De Urabá;En Ejecución;2025 - 2025;644388056,00;1
Territorio;Ambiente Y Desarrollo Sostenible;Barbosa,Antioquia;202500000009690;Implementación De Las Estrategias Integrales De Mitigación Y Adaptación Que Reduzcan La Vulnerabilidad De La Población Y El Entorno Natural Frente Al Cambio Climático En El Municipio De  Barbosa;En Ejecución;2025 - 2028;151860980,00;1
Territorio;Comercio, Industria Y Turismo;Angelópolis,Antioquia;202500000009651;Desarrollo Del Turismo Sostenible Para Generar Oportunidades Económicas Y Promover El Patrimonio Cultural En El Municipio De  Angelópolis;En Ejecución;2025 - 2027;30800008,00;1
Territorio;Salud Y Protección Social;Angelópolis,Antioquia;202500000009649;Fortalecimiento De La Inspección, Vigilancia Y Control En Salud En El Municipio De  Angelópolis;En Ejecución;2025 - 2027;136295378,00;1
Territorio;Información Estadística;Apartadó,Antioquia;202500000009619;Actualización  De La Estratificación Socioeconómica En El Municipio De  Apartadó;En Ejecución;2025 - 2025;400000000,00;1
Territorio;Comercio, Industria Y Turismo;Apartadó,Antioquia;202500000009617;Fortalecimiento  Y Puesta En Marcha De Ideas De Negocios A Través De La Generación De Conocimiento Y Capacidades, En El Municipio De  Apartadó;Viable;2025 - 2025;150000000,00;1
Territorio;Minas Y Energía;Turbo,Antioquia;202500000009503;Mantenimiento Y Optimización Del Alumbrado Público En El Distrito De  Turbo;En Ejecución;2025 - 2025;2400000000,00;1
